player_id,player_name,position,team,projection_standard,projection_half_ppr,projection_ppr,dynasty_value
McCrRo99,Roger McCreary,cb,DET,0.0,0.0,0.0,
Ya-SRo99,Rock Ya-Sin,cb,DET,0.0,0.0,0.0,
AbneKe99,Keith Abney II,cb,DET,0.0,0.0,0.0,
ClarCh99,Chuck Clark,s,DET,0.0,0.0,0.0,
MaddAv99,Avonte Maddox,s,DET,0.0,0.0,0.0,
HarpTh99,Thomas Harper,s,DET,0.0,0.0,0.0,
McNeAl99,Alim McNeill,dt,DET,0.0,0.0,0.0,
WillTy98,Tyleik Williams,dt,DET,0.0,0.0,0.0,
GillSk99,Skyler Gill-Howard,dt,DET,0.0,0.0,0.0,
HutcAi99,Aidan Hutchinson,de,DET,0.0,0.0,0.0,
WonnDJ99,D.J. Wonnum,de,DET,0.0,0.0,0.0,
MoorDe99,Derrick Moore,de,DET,0.0,0.0,0.0,
CampJa99,Jack Campbell,lb,DET,0.0,0.0,0.0,
BarnDe97,Derrick Barnes,lb,DET,0.0,0.0,0.0,
RodrMa99,Malcolm Rodriguez,lb,DET,0.0,0.0,0.0,
NixoKe99,Keisean Nixon,cb,GB,0.0,0.0,0.0,
CissBr99,Brandon Cisse,cb,GB,0.0,0.0,0.0,
ValeCa99,Carrington Valentine,cb,GB,0.0,0.0,0.0,
St-JBe99,Benjamin St-Juste,cb,GB,0.0,0.0,0.0,
McKiXa99,Xavier McKinney,s,GB,0.0,0.0,0.0,
WillEv99,Evan Williams,s,GB,0.0,0.0,0.0,
BullJa99,Javon Bullard,s,GB,0.0,0.0,0.0,
WyatDe99,Devonte Wyatt,dt,GB,0.0,0.0,0.0,
HargJa99,Javon Hargrave,dt,GB,0.0,0.0,0.0,
BrooKa99,Karl Brooks,dt,GB,0.0,0.0,0.0,
McClCh99,Chris McClellan,dt,GB,0.0,0.0,0.0,
VanNLu99,Lukas Van Ness,de,GB,0.0,0.0,0.0,
SorrBa99,Barryn Sorrell,de,GB,0.0,0.0,0.0,
DennDa98,Dani Dennis-Sutton,de,GB,0.0,0.0,0.0,
CoopEd99,Edgerrin Cooper,lb,GB,0.0,0.0,0.0,
FranZa99,Zaire Franklin,lb,GB,0.0,0.0,0.0,
StinDe99,Derek Stingley Jr,cb,HOU,0.0,0.0,0.0,
LassKa99,Kamari Lassiter,cb,HOU,0.0,0.0,0.0,
PitrJa99,Jalen Pitre,s,HOU,0.0,0.0,0.0,
BullCa99,Calen Bullock,s,HOU,0.0,0.0,0.0,
BlanRe99,Reed Blankenship,s,HOU,0.0,0.0,0.0,
TogiTo99,Tommy Togiai,dt,HOU,0.0,0.0,0.0,
RankSh99,Sheldon Rankins,dt,HOU,0.0,0.0,0.0,
HallLo99,Logan Hall,dt,HOU,0.0,0.0,0.0,
EdwaMa98,Mario Edwards Jr,dt,HOU,0.0,0.0,0.0,
AndeWi98,Will Anderson Jr.,de,HOU,0.0,0.0,0.0,
HuntDa97,Danielle Hunter,de,HOU,0.0,0.0,0.0,
ClowJa99,Jadeveon Clowney,de,HOU,0.0,0.0,0.0,
AlShAz99,Azeez Al-Shaair,lb,HOU,0.0,0.0,0.0,
HansJa99,Jake Hansen,lb,HOU,0.0,0.0,0.0,
WoodWa99,Wade Woodaz,lb,HOU,0.0,0.0,0.0,
GardSa99,Sauce Gardner,cb,IND,0.0,0.0,0.0,
WardCa99,Charvarius Ward,cb,IND,0.0,0.0,0.0,
WallJu99,Justin Walley,cb,IND,0.0,0.0,0.0,
BynuCa99,Cam Bynum,s,IND,0.0,0.0,0.0,
HaulAJ99,A.J. Haulcy,s,IND,0.0,0.0,0.0,
BuckDe99,DeForest Buckner,dt,IND,0.0,0.0,0.0,
StewGr99,Grover Stewart,dt,IND,0.0,0.0,0.0,
AdebAd99,Adetomiwa Adebawore,dt,IND,0.0,0.0,0.0,
TillJe99,Jerry Tillery,dt,IND,0.0,0.0,0.0,
LatuLa98,Laiatu Latu,de,IND,0.0,0.0,0.0,
KeyxAr99,Arden Key,de,IND,0.0,0.0,0.0,
TuimJT99,Jaylahn Tuimoloau,de,IND,0.0,0.0,0.0,
DaviAk98,Akeem Davis-Gaither,lb,IND,0.0,0.0,0.0,
BoetBr99,Bryce Boettcher,lb,IND,0.0,0.0,0.0,
CarlJa99,Jaylon Carlies,lb,IND,0.0,0.0,0.0,
HuntTr00,Travis Hunter,wr,JAX,39.38,50.08,60.78,
BrowMo99,Montaric Brown,cb,JAX,0.0,0.0,0.0,
JoneJa89,Jarrian Jones,cb,JAX,0.0,0.0,0.0,
LewiJo98,Jourdan Lewis,cb,JAX,0.0,0.0,0.0,
JohnAn96,Antonio Johnson,s,JAX,0.0,0.0,0.0,
MurrEr99,Eric Murray,s,JAX,0.0,0.0,0.0,
HamiDa98,DaVon Hamilton,dt,JAX,0.0,0.0,0.0,
ArmsAr98,Arik Armstead,dt,JAX,0.0,0.0,0.0,
OrhoRu99,Ruke Orhorhoro,dt,JAX,0.0,0.0,0.0,
RegiAl99,Albert Regis,dt,JAX,0.0,0.0,0.0,
AlleJo98,Josh Hines-Allen,de,JAX,0.0,0.0,0.0,
WalkTr96,Travon Walker,de,JAX,0.0,0.0,0.0,
GardDe99,Dennis Gardeck,de,JAX,0.0,0.0,0.0,
StriDa99,Danny Striggow,de,JAX,0.0,0.0,0.0,
OluoFo99,Foyesade Oluokun,lb,JAX,0.0,0.0,0.0,
MillVe99,Ventrell Miller,lb,JAX,0.0,0.0,0.0,
CombBr99,Branson Combs,lb,JAX,0.0,0.0,0.0,
WillNo99,Nohl Williams,cb,KC,0.0,0.0,0.0,
SneeLJ99,L'Jarius Sneed,cb,KC,0.0,0.0,0.0,
FultKr99,Kristian Fulton,cb,KC,0.0,0.0,0.0,
HickJa99,Jaden Hicks,s,KC,0.0,0.0,0.0,
GilmAl99,Alohi Gilman,s,KC,0.0,0.0,0.0,
NwanXa99,Xavier Nwankpa,s,KC,0.0,0.0,0.0,
JoneCh95,Chris Jones,dt,KC,0.0,0.0,0.0,
WoodPe99,Peter Woods,dt,KC,0.0,0.0,0.0,
TongKh99,Khyiris Tonga,dt,KC,0.0,0.0,0.0,
KarlGe99,George Karlaftis,de,KC,0.0,0.0,0.0,
ThomRM99,R Mason Thomas,de,KC,0.0,0.0,0.0,
AnudFe99,Felix Anudike-Uzomah,de,KC,0.0,0.0,0.0,
GillAs99,Ashton Gillotte,de,KC,0.0,0.0,0.0,
BoltNi99,Nick Bolton,lb,KC,0.0,0.0,0.0,
TranDr99,Drue Tranquill,lb,KC,0.0,0.0,0.0,
StokEr99,Eric Stokes,cb,LV,0.0,0.0,0.0,
PortDa99,Darien Porter,cb,LV,0.0,0.0,0.0,
JohnTa97,Taron Johnson,cb,LV,0.0,0.0,0.0,
ChinJe99,Jeremy Chinn,s,LV,0.0,0.0,0.0,
StukTr99,Treydan Stukes,s,LV,0.0,0.0,0.0,
PolaIs99,Isaiah Pola-Mao,s,LV,0.0,0.0,0.0,
HemiTo99,Tonka Hemingway,dt,LV,0.0,0.0,0.0,
LaulJo99,Jonah Laulu,dt,LV,0.0,0.0,0.0,
ButlAd99,Adam Butler,dt,LV,0.0,0.0,0.0,
BookTh99,Thomas Booker IV,de,LV,0.0,0.0,0.0,
CrosMa99,Maxx Crosby,de,LV,0.0,0.0,0.0,
PayeKw99,Kwity Paye,de,LV,0.0,0.0,0.0,
KoonMa99,Malcolm Koonce,de,LV,0.0,0.0,0.0,
DeanNa99,Nakobe Dean,lb,LV,0.0,0.0,0.0,
WalkQu99,Quay Walker,lb,LV,0.0,0.0,0.0,
StilTa99,Tarheeb Still,cb,LAC,0.0,0.0,0.0,
HartCa99,Cam Hart,cb,LAC,0.0,0.0,0.0,
JackDo99,Donte Jackson,cb,LAC,0.0,0.0,0.0,
JameDe99,Derwin James Jr.,s,LAC,0.0,0.0,0.0,
MoldEl99,Elijah Molden,s,LAC,0.0,0.0,0.0,
SmitGe99,Genesis Smith,s,LAC,0.0,0.0,0.0,
JeffTo98,Tony Jefferson,s,LAC,0.0,0.0,0.0,
EboiJu99,Justin Eboigbe,dt,LAC,0.0,0.0,0.0,
CaldJa99,Jamaree Caldwell,dt,LAC,0.0,0.0,0.0,
TomlDa99,Dalvin Tomlinson,dt,LAC,0.0,0.0,0.0,
TartTe99,Teair Tart,dt,LAC,0.0,0.0,0.0,
TuipTu99,Tuli Tuipulotu,de,LAC,0.0,0.0,0.0,
MackKh99,Khalil Mack,de,LAC,0.0,0.0,0.0,
DuprBu99,Bud Dupree,de,LAC,0.0,0.0,0.0,
MesiAk99,Akheem Mesidor,de,LAC,0.0,0.0,0.0,
HenlDa99,Daiyan Henley,lb,LAC,0.0,0.0,0.0,
PhilDe99,Del'Shawn Phillips,lb,LAC,0.0,0.0,0.0,
DyexTr99,Troy Dye,lb,LAC,0.0,0.0,0.0,
McDuTr99,Trent McDuffie,cb,LAR,0.0,0.0,0.0,
WatsJa99,Jaylen Watson,cb,LAR,0.0,0.0,0.0,
WallJo99,Josh Wallace,cb,LAR,0.0,0.0,0.0,
LakeQu99,Quentin Lake,s,LAR,0.0,0.0,0.0,
KincKa99,Kamren Kinchens,s,LAR,0.0,0.0,0.0,
McCoJa98,Jaylen McCollough,s,LAR,0.0,0.0,0.0,
TurnKo99,Kobie Turner,dt,LAR,0.0,0.0,0.0,
DonaAa99,Aaron Donald,dt,LAR,0.0,0.0,0.0,
FiskBr99,Braden Fiske,dt,LAR,0.0,0.0,0.0,
FordPo99,Poona Ford,dt,LAR,0.0,0.0,0.0,
YounBy98,Byron Young,de,LAR,0.0,0.0,0.0,
StewJo99,Josaiah Stewart,de,LAR,0.0,0.0,0.0,
LandNa99,Nate Landman,lb,LAR,0.0,0.0,0.0,
DolaSh99,Shaun Dolac,lb,LAR,0.0,0.0,0.0,
JohnCh96,Chris Johnson,cb,MIA,0.0,0.0,0.0,
MarsJa98,Jason Marshall Jr.,cb,MIA,0.0,0.0,0.0,
BrenJu99,JuJu Brents,cb,MIA,0.0,0.0,0.0,
AndeZa96,Zayne Anderson,s,MIA,0.0,0.0,0.0,
TaafMi99,Michael Taaffe,s,MIA,0.0,0.0,0.0,
TradDa99,Dante Trader Jr.,s,MIA,0.0,0.0,0.0,
SielZa99,Zach Sieler,dt,MIA,0.0,0.0,0.0,
PhilJo98,Jordan Phillips,dt,MIA,0.0,0.0,0.0,
BiggZe99,Zeek Biggers,dt,MIA,0.0,0.0,0.0,
RobiCh99,Chop Robinson,de,MIA,0.0,0.0,0.0,
HerrMa99,Malik Herring,de,MIA,0.0,0.0,0.0,
UcheJo99,Josh Uche,de,MIA,0.0,0.0,0.0,
BealRo99,Robert Beal Jr.,de,MIA,0.0,0.0,0.0,
BrooJo99,Jordyn Brooks,lb,MIA,0.0,0.0,0.0,
RodrJa99,Jacob Rodriguez,lb,MIA,0.0,0.0,0.0,
GayxWi98,Willie Gay Jr,lb,MIA,0.0,0.0,0.0,
MurpBy99,Byron Murphy Jr.,cb,MIN,0.0,0.0,0.0,
RodgIs99,Isaiah Rodgers,cb,MIN,0.0,0.0,0.0,
PierJa98,James Pierre,cb,MIN,0.0,0.0,0.0,
MeteJo99,Joshua Metellus,s,MIN,0.0,0.0,0.0,
JackTh99,Theo Jackson,s,MIN,0.0,0.0,0.0,
SmitHa98,Harrison Smith,s,MIN,0.0,0.0,0.0,
RedmJa99,Jalen Redmond,dt,MIN,0.0,0.0,0.0,
IngrTy99,Tyrion Ingram-Dawkins,dt,MIN,0.0,0.0,0.0,
RodrLe99,Levi Drake Rodriguez,dt,MIN,0.0,0.0,0.0,
OranDo99,Domonique Orange,dt,MIN,0.0,0.0,0.0,
VanGAn99,Andrew Van Ginkel,de,MIN,0.0,0.0,0.0,
TurnDa99,Dallas Turner,de,MIN,0.0,0.0,0.0,
VanNKy99,Kyle Van Noy,de,MIN,0.0,0.0,0.0,
CashBl99,Blake Cashman,lb,MIN,0.0,0.0,0.0,
WilsEr99,Eric Wilson,lb,MIN,0.0,0.0,0.0,
PaceIv98,Ivan Pace Jr.,lb,MIN,0.0,0.0,0.0,
GonzCh99,Christian Gonzalez,cb,NE,0.0,0.0,0.0,
DaviCa98,Carlton Davis III,cb,NE,0.0,0.0,0.0,
JoneMa05,Marcus Jones,cb,NE,0.0,0.0,0.0,
ByarKe99,Kevin Byard III,s,NE,0.0,0.0,0.0,
WoodCr99,Craig Woodson,s,NE,0.0,0.0,0.0,
WillMi97,Milton Williams,dt,NE,0.0,0.0,0.0,
BarmCh99,Christian Barmore,dt,NE,0.0,0.0,0.0,
DurdCo99,Cory Durden,dt,NE,0.0,0.0,0.0,
FarmJo98,Joshua Farmer,dt,NE,0.0,0.0,0.0,
JoneDr99,Dre'Mont Jones,de,NE,0.0,0.0,0.0,
PondEl98,Elijah Ponder,lb,NE,0.0,0.0,0.0,
JacaGa99,Gabe Jacas,de,NE,0.0,0.0,0.0,
SpilRo99,Robert Spillane,lb,NE,0.0,0.0,0.0,
ElliCh98,Christian Elliss,lb,NE,0.0,0.0,0.0,
McKiKo99,Kool-Aid McKinstry,cb,NO,0.0,0.0,0.0,
RileQu99,Quincy Riley,cb,NO,0.0,0.0,0.0,
ReidJu99,Justin Reid,s,NO,0.0,0.0,0.0,
BlacJu99,Julian Blackmon,s,NO,0.0,0.0,0.0,
SankJo99,Jonas Sanker,s,NO,0.0,0.0,0.0,
GodcDa99,Davon Godchaux,dt,NO,0.0,0.0,0.0,
BrouVe99,Vernon Broughton,dt,NO,0.0,0.0,0.0,
MillCh97,Christen Miller,dt,NO,0.0,0.0,0.0,
ShepNa99,Nathan Shepherd,dt,NO,0.0,0.0,0.0,
YounCh97,Chase Young,de,NO,0.0,0.0,0.0,
GranCa99,Carl Granderson,de,NO,0.0,0.0,0.0,
WilsTy99,Tyree Wilson,de,NO,0.0,0.0,0.0,
ElliKa99,Kaden Elliss,lb,NO,0.0,0.0,0.0,
WernPe99,Pete Werner,lb,NO,0.0,0.0,0.0,
StutDa99,Danny Stutsman,lb,NO,0.0,0.0,0.0,
NewsGr99,Greg Newsome II,cb,NYG,0.0,0.0,0.0,
BankDe99,Deonte Banks,cb,NYG,0.0,0.0,0.0,
PhilAn96,Dru Phillips,cb,NYG,0.0,0.0,0.0,
AdebPa99,Paulson Adebo,cb,NYG,0.0,0.0,0.0,
NubiTy99,Tyler Nubin,s,NYG,0.0,0.0,0.0,
HollJe98,Jevón Holland,s,NYG,0.0,0.0,0.0,
ReadDJ99,DJ Reader,dt,NYG,0.0,0.0,0.0,
HarrSh99,Shelby Harris,dt,NYG,0.0,0.0,0.0,
AlexDa99,Darius Alexander,dt,NYG,0.0,0.0,0.0,
OkoyCJ99,C.J. Okoye,dt,NYG,0.0,0.0,0.0,
CartAb99,Abdul Carter,de,NYG,0.0,0.0,0.0,
BurnBr99,Brian Burns,de,NYG,0.0,0.0,0.0,
ThibKa99,Kayvon Thibodeaux,de,NYG,0.0,0.0,0.0,
GolsCh99,Chauncey Golston,de,NYG,0.0,0.0,0.0,
EdmuTr99,Tremaine Edmunds,lb,NYG,0.0,0.0,0.0,
ReesAr99,Arvell Reese,lb,NYG,0.0,0.0,0.0,
StepBr99,Brandon Stephens,cb,NYJ,0.0,0.0,0.0,
